Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"Play House es un espacio increíble para todos, realice una clase de yoga con mascota en su espacio y conectamos con un momento de bienestar y tranquilidad, todos son super amables, el espacio ideal para hacer talleres, para hospedarse, conocer personas increíbles, recomendadisimo, gracias a Nelly, María Elena, Jessi, Gerardo, Candy y Fina.",una semana atrás en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/21/2024
"Me encanta ir a trabajar en el coworking de PlayHouse… es súper cómodo, tranquilo y sobre todo la buena energía de toda la gente que va. Lo más lindo es que es Pet Friendly 🐈🐕 además que el barrio es hermoso, hay cafeterías cerca y un chévere local de artesanías ecuatorianas para comprar regalos. En resumen, el lugar perfecto para ir a trabajar 🙃",Hace 2 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,04/22/2024
Me encantó hacer co-working en Play House! Las instalaciones son muy acogedoras y los espacios son grandes para poder trabajar a gusto y concentrarse. Me encantó! Seguramente volveré ya que se siente como en casa!,Hace 8 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,10/25/2023
"Paz, tranquilidad y diversidad. ¡Adoro PlayHouse!
Las ferias que realizan aquí son muy divertidas.
Para trabajar es un lugar muy bonito y el internet es maravilloso.  Si tienes presentaciones que hacer, el espacio es muy amplio y la luz es brutal.
100% recomendado.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Play House Quito de verdad lo recomiendo al mil porciento. Hoy pase un maravilloso día trabajando en sus cómodos espacios, compartiendo con personas maravillosas. Jess, una de las anfitrionas y dueña del lugar fue super amable y atenta conmigo, hasta un tinto de verano me compartieron! no se puede pedir más! Gracias chicas por toda su hospitalidad y por permitirme hacer uso de un espacio cómodo y acogedor. Espero verlas y repetir pronto una tarde como la de hoy!",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Me encantó todo!!! Se siente la energía de paz en el lugar, fluyen las ideas de forma tan natural al trabajar en Play House.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Un sitio perfecto para estar con amigos o la familia, tiene espacios perfectos para realizar networking o trabajar, un lugar tranquilo para poder descansar en las noches, muy bien ubicado y muy tranquilo, recomendado al 100",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Un lugar muy bueno para trabajar, excelente espacios y buen wifi. Lo mejor es que existen bares de chocolate y cafetería velez.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
Me encantó el lugar. Es un espacio perfecto para fluir e intercambiar ideas.,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"El mejor co-working en Quito. No solo por la ubicación, sino por la gente, el ambiente y la experiencia que ofrece. Super recomendado!",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Excelente lugar para hospedarse, el lugar es grande, prolijo, cómodo y moderno. Sus anfitrionas Marielena y Nelly son geniales. Me ayudaron muchísimo en mi estadía en Quito. Lo recomiendo!",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"No habia visitado un lugar tan agradable y acogedor como este nunca antes.
Fui a un taller y me encanto. Para mi es y será una de mis mejores experiencias en este lugar.",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Un lugar muy acogedor, con diversos ambientes que encantan, muy bien ubicado y excelente atención de sus anfitriones. Totalmente recomendado!",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Un lindo lugar en plena Floresta, sector que se está destacando por su ambiente bohemio, bien situada con espacio para parqueos",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Me encanta este Lugar!
Su magia se siente al llegar y al respirar una energía que inspira Crear 🍃…",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Increíble espacio de coworking y Coliving, muy buena ubicación y muchas actividades variadas. Buenísimo",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Un lugar muy acogedor y la atención es genial.,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Excelente lugar, acogedor, bien ubicado, seguro y hermoso para disfrutar en todo concepto.",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Excelente lugar, muy acogedor y buena atención.. todo limpio y en orden.. ""PET FRIENDLY"" Recomendado!!",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
El lugar es muy bonito e innovador,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Increíble lugar,  me encantan sus instalaciones, sus eventos, y la calidad del Servicio",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Excelente sitio para estar y un jardín comodo,Hace 3 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2021
Excelente lugar para desarrollar ideas y proyectos nuevos,Hace 2 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2022
"Interesante propuesta, pero, no se siente un lugar muy dinámico para la creación de ideas y nuevos proyectos.",Hace 5 años en Google,2/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,-1.0,06/23/2019
"Un espacio para emprendimiento, y productos ideales de venta al público.",Hace 3 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2021
Excelente espacio diferente e innovador.. pioneros en el paìs muchos exitos,Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Exelente,Hace 6 meses en Google,4/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,12/24/2023
Es excelente para reuniones y eventos diferentes,Hace 3 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2021
"Hermoso, excelentes cursos de música 🤗🤗…",Hace 2 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2022
"Bonito Lugar, instalaciones y atención muy buena",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Lindo lugar,Hace 7 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,11/24/2023
"buen lugar, excelente atención y buen evento",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Lindo lugar. Muy abiertos a las propuestas,Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Excelente sitio para compartir, convivir y aprender.",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Recomiendo este lugar, la atención es muy buena.",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"increible para eventos, recomendado",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Muy dovertido, ricas picadas, innovador",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Excelente lugar, acogedor.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
Lugar super alternativo con geniales ideas y emprendimientos.,Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Tienen las mejores claser en distintas areas ...,Hace 5 años en Google,4/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Muy bonito Lugar,Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Lindo espacio,Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Excelente lugar,Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Espectacular!,Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Muy chévere,Hace 4 años en Google,4/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Tuve una experiencia maravillosa aquí. Alquilé una habitación privada durante aproximadamente 3,5 meses e hice amistades increíbles. El ambiente de la casa es abierto, amigable, respetuoso y limpio. Es un espacio de coworking con 1…",Hace 4 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,02/22/2024
"¡Este lugar es genial! La energía es positiva y respetuosa. Me quedé dos noches, mientras pasaba por Quito y avanzaba hacia la costa. El propietario hizo todo lo posible al ayudarme con la logística de mis vacaciones (hablo muy poco…",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Magnífico coliving en el corazón de la floresta. Habitación espaciosa, espacio para todos en el coworking, internet bajo. Cocina bien equipada. 1 mes transcurrido en buen ambiente y discusiones interminables en la cocina.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Me encantó mi estancia en Play House (1 mes y una semana en una habitación privada) y me encantaría volver. El lugar es cómodo y luminoso para trabajar, cocinar, relajarse, etc. y la gente que conocí allí fue encantadora. Buen internet.…",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Genial lugar para trabajar, tiene un lindo jardín para relajarse y está muy bien ubicado en uno de los barrios más vibrantes de Quito. Está cerca de bares, restaurantes (muchas opciones vegetarianas), cines, supermercados y estaciones de autobuses.",Hace 6 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2018
"Playhouse es un gran espacio y tiene todo lo que necesitas para trabajar y jugar de manera efectiva en Quito. El espacio de coworking es de alta calidad y tiene suficiente espacio para trabajar y también hacer llamadas en privado, y los…",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Viniendo de Guayaquil conocí interesantes emprendedores de Quito y también asistí a un par de talleres. El salón de clases es único y el personal siempre fue muy atento y amable. Tienen su propia planta de té para infusiones calientes, riquísimas.",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
Me encanta la ubicación y el servicio. Es especialmente bueno para mis viajes de trabajo a Quito para poder trabajar y aun así descansar bien por la noche.,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Pasé un mes en playhouse y estoy muy agradecido por la experiencia. ¡Gracias por todas las risas, la calidez y los nuevos amigos que he hecho!",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Este es un gran lugar para quedarse y trabajar en Quito. Hay tres amplias salas con escritorios y mesas para trabajar, así como una cocina para preparar té/café y cocinar. Trabajé en un proyecto de consultoría durante el día compartiendo…",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Un hermoso lugar para los nómadas digitales (o para cualquiera en realidad). Buen rollo, dos encantadoras cafeterías justo al lado y buenas instalaciones.",Hace 3 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2021
Estuve dos veces en Play House Quito y me sentí como en casa allí. ¡Gracias Jessica y el equipo!,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Me alegra que este lugar esté sobreviviendo a pesar del coronavirus. Tiene un ambiente un poco nómada digital serio, pero también se divierten los fines de semana.",Hace 3 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2021
Es bueno ir a ver GOT,Hace 5 años en Google,3/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,0.0,06/23/2019
No comment found,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
Se oye todo el ruido de los otros cuartos. Procurar tener la cocina limpia para que no se queden los malos olores,Hace 2 meses en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,04/22/2024
"Muy buen lugar súper bonito en todo aspecto.

Cada cuarto tenía un ambiente totalmente diferente y son super amplios adicional su baño individual .

No estoy tan seguro pero es más como para empresas o grupo de personas grandes.

El servicio por lo que entendí es totalmente en línea y no suele haber contacto con personal interno .
No cuenta con parqueo ni comedor interno .",Hace 7 meses en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,11/24/2023
Estaba un poco sucio. Debería estar totalmente limpio para los huéspedes,Hace 4 meses en Google,3/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,0.0,02/22/2024
"Este sitio es el mejor como opción de Airbnb.
Las habitaciones son lindas y muy cómodas.
Cuando reservas te dan un código para ingresar, ahí tomas la tarjeta de tu habitación y listo, no tienes contacto con nadie, es tranquilo y tienes mucha paz.",Hace 2 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
Una ambientación fantástica. Habitaciones equipadas con alta tecnología y al mismo tiempo con un manejo sustentable. Quiero destacar la excelente atención por parte del personal que fue de la mejor hospitalidad y amabilidad que recibimos en un hotel. Muy recomendado.,Hace 5 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/23/2019
"Exelente ubicación, habitaciones muy confortables. Lo único que mejoraría es que si no tienes una cuenta propia de Netflix , no puedes ver televisión.",Hace 2 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
"Buen lugar, muy cómodo, son muy seguras las instalaciones, el sector suele ser muy solitario, no cuentan con parquedero propio, es algo complicado para las personas que acuden con sus vehículos",Hace 2 años en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
"Excelente y muy bonito sitio. Muy buena atención, ubicación inmejorable",Hace 2 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
Excelente lugar y mucha amabilidad en quienes te atiende y ayudan dándote las respuestas y sugerencias que necesitas para conocer Quito. La ambientación es muy cuidada y moderna.,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
"Una atención horrible, se guían en apariencias, clasismo y qué onda con lo de pagar penalidades tan costosas cuando dice exactamente área de fumadores en el patio
Encima más hacen problema por todo
Ohhhh y encima estos personajes me piden mi cédula",Hace 2 años en Google,1/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,-1.0,06/22/2022
"Un excelente hotel boutique de 🌟 🌟 🌟 🌟.
Moderno y acogedor, y unos ricos desayunos que te sirven a la habitación. Muy satisfactoria experiencia.…",Hace 5 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/23/2019
De los mejores hospedajes en La floresta cerca de todo,Hace 9 meses en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,09/25/2023
"Hotel automatizado limpio, seguro con  privacidad garantizada y espacios comunes muy bonitos",Hace un año en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2023
"Muy lindo lugar , acogedor , personal súper agradable.  Recomendable",Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
"Excelente lugar, ubicación, precio y servicio. Me encantó",Hace 2 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
Bonito el lugar,Hace 4 meses en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,02/22/2024
Es un hotel boutique en el que tu estancia será de gran agrado. Lo recomiendo.,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Muy buena opción. Atención muy cálida. Buena ubicación y muy accesible. Recomiendo,Hace 5 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/23/2019
Medio,Hace 2 meses en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,04/22/2024
"Excelente Atención.... Delicioso el desayuno,, súper ubicación",Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Excelente ubicación.  Atención de primera.  Todo limpio.,Hace 5 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/23/2019
Un lugar muy bien ubicado y tranquilo,Hace 2 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
"Excelente cuarto, impecable higiene y atención.  Volvería",Hace 5 años en Google,3/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,0.0,06/23/2019
Es un lugar bastante bonito y tranquilo,Hace 2 años en Google,3/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,0.0,06/22/2022
"Excelente lugar!
Recomendado",Hace un año en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2023
La habitación que me tocó era muy pequeña y sin ventanas,Hace 5 años en Google,3/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,0.0,06/23/2019
"Moderno, funcional y con una atención muy comprometida de todo el personal.",Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
La hubicacion es lejana del centro pero la atencion y el lugar excelentes,Hace 5 años en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/23/2019
"Con mucho estilo, y la atención de primera, recomendado totalmente",Hace 3 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2021
Esta bueno pero le faltan algunos detalles,Hace 2 años en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
La mejor súper recomendado,Hace un año en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2023
Muy bonito el lugar,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Excelente atención y servicio!,Hace 3 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2021
Buen lugar para alojamiento,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Buen servicio 👍…,Hace 2 años en Google,4/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2022
Excelente servicio.,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Excelente lugar,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
Excelente 👌,Hace un año en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2023
Lejos de la parte colonial.,Hace 4 años en Google,5/5,Hotel Kaia,Hotel,"Valladolid N24-742 y Julio Zaldumbide, Quito","('-0.2051105', '-78.4810888')",-0.2051105,-78.4810888,1.0,06/22/2020
