Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"El restaurante La Canoa super recomendado
La comida es típica de nuestro país con un toque gourmet
Muy bueno",Hace un año en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
Es el peor lugar ya que las personas que se encargan de tu seguridad no dejan trabajar en paz a las personas que cuidan los vehículos además de eso si te sucede algún percance fuera de sus instalaciones como un asalto jamas están pendientes solo les interesa descansar así ellos te vean que te asaltan sino estas cerca a dos metros de sus instalaciones no hacen nada por ayudarte,Hace 6 años en Google,1/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,-1.0,06/23/2018
"Excelente hotel, el servicio de calidad. Se caracteriza por la acogida amable. Confort en las habitaciones.
Mi estadía placentera y cómoda.",Hace 6 años en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/23/2018
"Muy lindo hotel,el personal super agradable y cordial al solicitar información sobre que hacer en la Ciudad y alrededores. Más que recomendable.",Hace 6 años en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/23/2018
"Es un excelente hotel, pero en las noches en la esquina del hotel se paran a vender droga, lo q le hace muy peligroso para poder salir en la noche a dar una vuelta a los alrededores. Lo raro es que el hotel no hace nada al respecto.",Hace 3 años en Google,1/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,-1.0,06/22/2021
"Es un hotel bastante agradable, la comida es muy buena y el salón de eventos excelente, además de una buena atención de su personal, Felicidades",Hace 4 años en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2020
Excelente atención en el restaurante. Su menú es muy atractivo y accesible. Recomendado.,Hace 2 años en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2022
"Un hotel muy bueno,muy buena atención, habitaciones muy buenas y cómodas con increíbles vistas,la limpieza muy buena y el restaurante/cafetería que tienen es muy bueno y con precios buenos.si vienes a Quito es un lugar 100% recomendable en el que hospedarse",Hace 2 años en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2022
"Hermoso, cómodo y moderno hotel ubicado en sitio inmejorable.",Hace un año en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
"Una muy buena atención en un evento familiar realizado, todo bien",Hace un año en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
"Muy buen lugar para hospedarse y disfrutar de un momento de descansó..
Excelente servicio",Hace 2 años en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2022
